dataset,algo,budget,time,num_trials,n,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct,gap_pct_mean_before,mean_pairwise_before,refine_time,travel_dist,frac_local_opt,mean_improving_vertices
G22,CIM,4800.0,11.259928899991792,32,2000,13305.3125,13342.0,20.412063681803463,0.40188262594505575,0.12725503405943558,0.3269264112903226,0.35524999999999995,0.0,0.4995,30,27,0.008,0.7511453958336317,24,0.266070652173913,22,,,,,0.6875,0.40625
G22,CAC,4000.0,7.59384190000128,32,2000,13335.59375,13356.0,11.669563442455763,0.17520959652668613,0.022456770716370988,0.21366431451612902,0.18675,0.047,0.4995,32,23,0.3345,0.4903266442216262,32,0.21366431451612902,32,,,,,0.34375,1.625
G22,SA,10000000.0,9.290005300019402,32,2000,13342.21875,13358.0,13.983772682559596,0.1256175611947002,0.007485590238790328,0.25495665322580646,0.20425,0.0065,0.487,32,22,0.158,0.5750278315242,32,0.25495665322580646,32,,,,,1.0,0.0
G22,SB,6000.0,11.604281699983403,32,2000,13349.4375,13358.0,12.896068926227093,0.07158095665843252,0.007485590238790328,0.15951512096774192,0.09425,0.0065,0.488,32,12,0.358,0.38241853765583567,32,0.15951512096774192,32,,,,,1.0,0.0
G22,PT,80.0,8.923183100007009,32,2000,13249.78125,13288.0,16.164649654029002,0.8175668088928811,0.5314769069541134,0.41437197580645163,0.426,0.239,0.4995,32,25,0.0005,0.8942754500741249,0,nan,0,,,,,0.0,6.03125
G22,GA,20.0,15.623864500026684,32,2000,13348.3125,13358.0,10.695903129235978,0.08000224567707165,0.007485590238790328,0.17542137096774194,0.1485,0.0075,0.469,32,18,0.4355,0.40609935316678597,32,0.17542137096774194,32,,,,,1.0,0.0
K2000,CIM,300.0,61.07974890002515,32,2000,32264.15625,32608.0,167.60875375688914,3.2181772505024444,2.1867594564597894,0.4457086693548387,0.4565,0.2745,0.4995,32,31,0.0005,0.9440663470576064,0,nan,0,,,,,0.0,37.4375
K2000,CAC,500.0,97.43893439997919,32,2000,24645.0,31912.0,10326.027802959858,26.073131955484897,4.27452980172181,0.47293548387096773,0.483,0.3375,0.5,32,32,0.0,0.965314766277115,0,nan,0,,,,,0.0,232.1875
K2000,SA,1000000.0,61.07727569999406,32,2000,31534.46875,32084.0,311.51484559076397,5.406998980112188,3.7585865554788973,0.4652711693548387,0.4695,0.344,0.5,32,31,0.0,0.9685985390398392,0,nan,0,,,,,1.0,0.0
K2000,SB,400.0,79.36667080002371,32,2000,33165.375,33278.0,66.86121353221164,0.5148183699793023,0.17698053214146445,0.3134233870967742,0.31025,0.0,0.4915,31,27,0.1555,0.6621496409897559,19,0.29098245614035084,18,,,,,0.46875,0.875
K2000,PT,30.0,159.34738600003766,32,2000,31093.40625,31366.0,137.31438821528317,6.730040945495995,5.91234964153943,0.46573891129032263,0.47224999999999995,0.3665,0.5,32,32,0.0,0.9639390935755228,0,nan,0,,,,,0.03125,6.6875
K2000,GA,20.0,101.3708864999935,32,2000,33212.6875,33337.0,61.38018689894973,0.37289648138704745,0.0,0.37518749999999995,0.401,0.0055,0.498,32,29,0.036,0.7957480023537639,24,0.37230072463768116,24,,,,,1.0,0.0
G55,CIM,9600.0,21.744815100042615,32,5000,10179.96875,10225.0,16.694842719759297,1.1557554131469074,0.7185163608117293,0.3867278225806452,0.39780000000000004,0.1334,0.499,32,26,0.0012,0.8667858318886027,0,nan,0,,,,,0.875,0.125
G55,CAC,12000.0,14.647251799993683,32,5000,10232.4375,10249.0,9.746593956352136,0.6463006117098747,0.48548402757549275,0.4378459677419355,0.4477,0.2768,0.5,32,23,0.0,0.9280093269734145,1,nan,1,,,,,0.03125,5.0
G55,SA,30000000.0,16.366118700010702,32,5000,10267.53125,10283.0,8.986046040250406,0.30555150985532575,0.15535488882415768,0.4095157258064516,0.42010000000000003,0.1688,0.4996,32,22,0.0008,0.8924217570488998,31,0.4086769892473119,31,,,,,1.0,0.0
G55,SB,15000.0,16.57900139997946,32,5000,10271.75,10284.0,7.066647012551285,0.2645887950286436,0.14564520827264782,0.37611814516129033,0.39690000000000003,0.0812,0.4994,32,20,0.013,0.827469714435318,32,0.37611814516129033,32,,,,,1.0,0.0
G55,PT,200.0,28.612757800030522,32,5000,10188.8125,10212.0,10.748364701199899,1.0698854257694923,0.8447422079813574,0.4396322580645161,0.4417,0.2988,0.4996,32,25,0.0,0.9515308278539353,0,nan,0,,,,,0.0,5.125
G55,GA,8.0,22.21553720004158,32,5000,10081.59375,10132.0,18.72474862147687,2.1109452374016895,1.6215166521021458,0.46946209677419354,0.4744,0.378,0.5,32,26,0.0,0.9630314384741782,0,nan,0,,,,,1.0,0.0
G70,CIM,4800.0,17.84053290000884,32,10000,9479.625,9501.0,13.690210918755051,1.1612449171097905,0.9383797309978105,0.3810163306451613,0.38995,0.1435,0.4997,32,26,0.0133,0.8247869322661642,0,nan,0,,,,,0.625,0.375
G70,CAC,4000.0,6.16584829997737,32,10000,9441.46875,9480.0,12.303415112784743,1.5590788238974036,1.1573350015639663,0.47513467741935483,0.47985,0.3928,0.4998,32,23,0.0,0.9686966970937582,0,nan,0,,,,,0.78125,0.3125
G70,SA,30000000.0,13.941308200010099,32,10000,9517.96875,9535.0,8.42423726146765,0.761456052549265,0.5838807215097487,0.4566308467741936,0.46325,0.3526,0.4999,32,21,0.0,0.9657406708304381,0,nan,0,,,,,0.96875,0.03125
G70,SB,15000.0,20.447883999964688,32,10000,9536.25,9546.0,7.4916620318858484,0.5708476696903346,0.46918986549890523,0.4492679435483871,0.45699999999999996,0.3163,0.5,32,19,0.0,0.9527010152046874,5,0.4567400000000001,5,,,,,1.0,0.0
G70,PT,80.0,17.516620699956547,32,10000,9397.84375,9418.0,9.424401091713998,2.0139323323949534,1.8037743718069024,0.4808774193548387,0.4843,0.4327,0.4998,32,21,0.0,0.9750727685519378,0,nan,0,,,,,0.625,0.6875
G70,GA,3.0,24.39960780000547,32,10000,9201.34375,9244.0,18.355192342699652,4.06272807840684,3.617975185069336,0.48723931451612906,0.49,0.4491,0.5,32,27,0.0,0.9733804925107088,0,nan,0,,,,,1.0,0.0
