dataset,algo,budget,time,num_trials,n,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct,gap_pct_mean_before,mean_pairwise_before,refine_time,travel_dist,frac_local_opt,mean_improving_vertices
G22,CIM,4800.0,11.259928899991792,32,2000,13317.40625,13357.0,20.055952007758197,0.31135376899468525,0.014971180477580656,0.33243245967741936,0.3615,0.0,0.499,30,24,0.007,0.7567661231513826,28,0.30870634920634915,26,0.40188262594505575,0.3269264112903226,0.1600903999642469,0.059625,1.0,0.0
G22,CAC,4000.0,7.59384190000128,32,2000,13340.28125,13358.0,10.932275537942685,0.14012089228235647,0.007485590238790328,0.21166834677419355,0.18375,0.034,0.4995,32,21,0.3395,0.4857978703862599,32,0.21166834677419355,32,0.17520959652668613,0.21366431451612902,0.15252409997629002,0.0230625,1.0,0.0
G22,SA,10000000.0,9.290005300019402,32,2000,13342.65625,13358.0,13.896063684997273,0.12234261546522943,0.007485590238790328,0.2541804435483871,0.20450000000000002,0.0065,0.487,32,25,0.1625,0.5736831819169349,32,0.2541804435483871,32,0.1256175611947002,0.25495665322580646,0.15282069996464998,0.00825,1.0,0.0
G22,SB,6000.0,11.604281699983403,32,2000,13350.5625,13358.0,12.713028504254995,0.0631596676397934,0.007485590238790328,0.15865020161290322,0.08875,0.004,0.488,32,11,0.3615,0.38076022071913235,32,0.15865020161290322,32,0.07158095665843252,0.15951512096774192,0.15577990002930164,0.01465625,1.0,0.0
G22,PT,80.0,8.923183100007009,32,2000,13288.09375,13327.0,16.248767982142525,0.5307751328692267,0.2395388876412905,0.41239314516129033,0.425,0.228,0.5,32,28,0.0005,0.884556032596403,13,0.35021794871794876,13,0.8175668088928811,0.41437197580645163,0.15827439998975024,0.095484375,1.0,0.0
G22,GA,20.0,15.623864500026684,32,2000,13350.34375,13359.0,9.723069779524366,0.06479714050452878,0.0,0.17503729838709678,0.156,0.0055,0.4785,32,16,0.434,0.4055646608166355,32,0.17503729838709678,32,0.08000224567707165,0.17542137096774194,0.15296069998294115,0.017265625,1.0,0.0
K2000,CIM,300.0,61.07974890002515,32,2000,32803.71875,33047.0,145.70544652976258,1.5996677865434803,0.8699043105258422,0.44370060483870966,0.4515,0.261,0.5,32,29,0.0,0.9366577801694516,0,nan,0,3.2181772505024444,0.4457086693548387,1.7466565999784507,0.10028125,1.0,0.0
K2000,CAC,500.0,97.43893439997919,32,2000,32624.4375,33033.0,207.67160637350017,2.137452380238174,0.9118996910339863,0.4473447580645162,0.45575,0.29,0.5,32,31,0.0,0.9473144389110226,0,nan,0,26.073131955484897,0.47293548387096773,1.731417600007262,0.2804375,0.96875,0.03125
K2000,SA,1000000.0,61.07727569999406,32,2000,32522.84375,32929.0,189.29278072852514,2.4422001079881213,1.2238653748087711,0.4542510080645161,0.461,0.3305,0.5,32,32,0.0,0.9563616285264676,0,nan,0,5.406998980112188,0.4652711693548387,1.7315348999691196,0.25371875,1.0,0.0
K2000,SB,400.0,79.36667080002371,32,2000,33202.0625,33294.0,61.94601354203513,0.4047679755226925,0.1289858115607283,0.31812701612903227,0.3165,0.0,0.4975,29,27,0.146,0.6710747773913286,23,0.3036719367588933,20,0.5148183699793023,0.3134233870967742,1.725491300050635,0.05134375,1.0,0.0
K2000,PT,30.0,159.34738600003766,32,2000,32648.625,32984.0,177.67768395327533,2.064897861235264,1.0588835228124907,0.4511915322580645,0.46,0.263,0.5,32,31,0.0,0.9533606024713074,0,nan,0,6.730040945495995,0.46573891129032263,1.7900218000286259,0.270859375,1.0,0.0
K2000,GA,20.0,101.3708864999935,32,2000,33219.96875,33337.0,57.847582260951064,0.3510551339352671,0.0,0.375297379032258,0.4,0.0655,0.4995,32,29,0.0325,0.7960020562997356,25,0.3710333333333333,25,0.37289648138704745,0.37518749999999995,1.734809099987615,0.019109375,1.0,0.0
G55,CIM,9600.0,21.744815100042615,32,5000,10180.78125,10225.0,16.975597145240577,1.1478662976988057,0.7185163608117293,0.3868802419354839,0.3968,0.1364,0.4988,32,23,0.0014,0.8666154948501835,0,nan,0,1.1557554131469074,0.3867278225806452,0.5146047999733128,0.0062,1.0,0.0
G55,CAC,12000.0,14.647251799993683,32,5000,10240.3125,10260.0,9.850245872565822,0.5698368773667346,0.37867754150888433,0.4372512096774194,0.4464,0.2762,0.4998,32,20,0.0,0.9277308300878682,9,0.4150444444444445,9,0.6463006117098747,0.4378459677419355,0.5264594999607652,0.01495625,1.0,0.0
G55,SA,30000000.0,16.366118700010702,32,5000,10267.53125,10283.0,8.986046040250406,0.30555150985532575,0.15535488882415768,0.4095157258064516,0.42010000000000003,0.1688,0.4996,32,22,0.0008,0.8924217570488998,31,0.4086769892473119,31,0.30555150985532575,0.4095157258064516,0.5132804999593645,0.0,1.0,0.0
G55,SB,15000.0,16.57900139997946,32,5000,10271.75,10284.0,7.066647012551285,0.2645887950286436,0.14564520827264782,0.37611814516129033,0.39690000000000003,0.0812,0.4994,32,20,0.013,0.827469714435318,32,0.37611814516129033,32,0.2645887950286436,0.37611814516129033,0.5358079000143334,0.0,1.0,0.0
G55,PT,200.0,28.612757800030522,32,5000,10195.0,10218.0,10.641898326896381,1.009806777357025,0.7864841246722983,0.43955,0.4424,0.2976,0.4998,32,20,0.0,0.9353122764632861,0,nan,0,1.0698854257694923,0.4396322580645161,0.5159437999827787,0.0089125,1.0,0.0
G55,GA,8.0,22.21553720004158,32,5000,10083.0625,10134.0,18.729885043694207,2.0966841440916593,1.602097290999126,0.4694745967741935,0.474,0.3796,0.5,32,23,0.0,0.9637282869042308,0,nan,0,2.1109452374016895,0.46946209677419354,0.5225727999932133,0.00820625,1.0,0.0
G70,CIM,4800.0,17.84053290000884,32,10000,9480.0,9501.0,13.596874640887147,1.1573350015639663,0.9383797309978105,0.38100504032258065,0.39,0.1435,0.4998,32,25,0.0133,0.8247800202430288,0,nan,0,1.1612449171097905,0.3810163306451613,0.9930975000024773,3.75e-05,1.0,0.0
G70,CAC,4000.0,6.16584829997737,32,10000,9441.8125,9480.0,12.071240356732195,1.555494734647065,1.1573350015639663,0.4751292338709678,0.47985,0.3928,0.4998,32,22,0.0,0.9686883403459551,0,nan,0,1.5590788238974036,0.47513467741935483,1.0110595000442117,3.4375e-05,1.0,0.0
G70,SA,30000000.0,13.941308200010099,32,10000,9518.0,9535.0,8.403868156985805,0.7611302262537796,0.5838807215097487,0.4566310483870968,0.46325,0.3526,0.4999,32,21,0.0,0.9657409527905485,0,nan,0,0.761456052549265,0.4566308467741936,0.9771905999514274,3.125e-06,1.0,0.0
