dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,0,baseline,baseline,4800,1.553743564765986e-05,3.7449677999829873,1838.2386447641302,0.38296638432586044,13305.3125,13342.0,20.412063681803463,0.40188262594505575,0.12725503405943558,0.3269264112903226,0.35524999999999995,0.0,0.4995,30,27,0.008,0.7511453958336317,24,0.266070652173913,22
G22,1,init1e-05,初期振幅 1e-05,4800,1.553743564765986e-05,3.846646099933423,1838.2386447641302,0.38296638432586044,13301.375,13330.0,14.376086915430081,0.4313571375102927,0.21708211692491952,0.33626209677419355,0.36324999999999996,0.0,0.5,30,23,0.0045,0.7817094931765892,25,0.31216333333333335,23
G22,1,init0.001,初期振幅 0.001,4800,1.553743564765986e-05,3.792149499990046,1838.2386447641302,0.38296638432586044,13301.6875,13330.0,14.451292113510128,0.42901789056067074,0.21708211692491952,0.3360504032258065,0.36275,0.0,0.5,30,23,0.0045,0.7810758808637617,25,0.3124,23
G22,1,init0.1,初期振幅 0.1,4800,1.553743564765986e-05,3.7569725000066683,1838.2386447641302,0.38296638432586044,13301.625,13330.0,13.943524482712396,0.42948573995059514,0.21708211692491952,0.33861995967741937,0.36524999999999996,0.031,0.5,32,25,0.007,0.7943432655645554,23,0.3133438735177866,23
G22,2,dp0.25x,ramp 0.25x,4800,3.884358911914965e-06,3.8130577000556514,7352.954579056521,1.0,13298.0,13333.0,16.338222057494505,0.4566210045662101,0.19462534620854854,0.29716733870967743,0.3135,0.0,0.498,12,9,0.0255,0.7114875145092933,13,0.24437179487179492,5
G22,2,dp4x,ramp 4x,4800,6.214974259063944e-05,3.875579799991101,459.55966119103255,0.09574159608146511,13236.9375,13318.0,204.3608844513793,0.9137098585223445,0.3069091997904035,0.40273185483870966,0.42325,0.1525,0.5,32,24,0.001,0.8998676017722901,4,0.23341666666666663,4
G22,2,dp16x,ramp 16x,4800,0.00024859897036255777,4.140724899945781,114.88991529775814,0.023935399020366278,13205.53125,13284.0,26.38534675605951,1.1488041769593533,0.5614192679092747,0.4289939516129032,0.44275,0.199,0.5,32,28,0.0,0.9423251578610083,0,nan,0
G22,2,dp64x,ramp 64x,4800,0.000994395881450231,4.176081100013107,28.722478824439534,0.005983849755091569,13086.375,13121.0,20.717972270470874,2.0407590388502137,1.7815704768320981,0.4537338709677419,0.4605,0.328,0.5,32,25,0.0,0.9525640930595288,0,nan,0
G22,3,noise10x,ノイズ 10x,4800,1.553743564765986e-05,3.735026099951938,1838.2386447641302,0.38296638432586044,13307.09375,13346.0,19.930126967420453,0.3885489183322105,0.09731267310427427,0.3274848790322581,0.35575,0.0,0.4995,31,24,0.0075,0.7516164685643592,24,0.26705797101449275,23
G22,3,noise100x,ノイズ 100x,4800,1.553743564765986e-05,3.6668126001022756,1838.2386447641302,0.38296638432586044,13304.875,13335.0,19.86792326842441,0.40515757167452654,0.1796541657309679,0.33007459677419354,0.37275,0.0,0.4985,31,25,0.004,0.7559933774391275,23,0.25916205533596837,22
G22,3,noise1000x,ノイズ 1000x,4800,1.553743564765986e-05,3.715658999979496,1838.2386447641302,0.38296638432586044,13305.34375,13348.0,22.486953682913565,0.40164870125009355,0.08234149262669362,0.33774495967741935,0.39975000000000005,0.0025,0.5,32,26,0.0025,0.7728641115100254,23,0.25564426877470353,23
G22,4,async0.5par,部分更新 f=0.5,9600,7.76871782382993e-06,7.696649299934506,3676.4772895282604,0.38296638432586044,13298.96875,13334.0,18.653894323639232,0.44936933902238196,0.18713975596975824,0.3403719758064516,0.3485,0.0,0.4995,30,20,0.017,0.7751337264641256,15,0.23435238095238098,15
G22,4,async0.25par,部分更新 f=0.25,19200,3.884358911914965e-06,13.050897400011308,7352.954579056521,0.38296638432586044,13296.78125,13333.0,15.739548863849306,0.46574406766973575,0.19462534620854854,0.3498860887096774,0.36175,0.0585,0.4995,32,25,0.024,0.7902070906916399,18,0.3200294117647059,18
