dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,0,baseline,baseline,4800,1.553743564765986e-05,3.7408760000253096,1838.2386447641302,0.38296638432586044,13295.34375,13328.0,14.277625360594808,0.47650460363799685,0.2320532974025002,0.34459375,0.369,0.0285,0.5,32,20,0.01,0.8326596529777842,14,0.3064945054945055,14
G22,1,init1e-05,初期振幅 1e-05,4800,1.553743564765986e-05,3.6940089999698102,1838.2386447641302,0.38296638432586044,13296.65625,13333.0,18.88718046553005,0.46667976644958453,0.19462534620854854,0.3500141129032258,0.39025,0.0,0.5,31,26,0.018,0.8074867614510295,16,0.2751375,15
G22,1,init0.001,初期振幅 0.001,4800,1.553743564765986e-05,3.7262435000156984,1838.2386447641302,0.38296638432586044,13297.34375,13333.0,18.966433136926405,0.4615334231604162,0.19462534620854854,0.35002016129032254,0.38975000000000004,0.0,0.5,31,25,0.0175,0.8071225390725725,17,0.28482352941176475,16
G22,1,init0.1,初期振幅 0.1,4800,1.553743564765986e-05,3.6404390999814495,1838.2386447641302,0.38296638432586044,13298.40625,13333.0,17.15710380389126,0.4535799835317015,0.19462534620854854,0.3527641129032258,0.399,0.0,0.5,30,26,0.0125,0.8180648645460346,19,0.298093567251462,17
G55,0,baseline,baseline,9600,2.520304854118271e-05,10.956573999952525,3535.4712588045695,0.368278256125476,10178.34375,10205.0,15.51331962983745,1.171533644043111,0.9127099718419265,0.38126330645161294,0.3931,0.1166,0.4998,32,26,0.0008,0.9128613045796025,0,nan,0
G55,1,init1e-05,初期振幅 1e-05,9600,2.520304854118271e-05,10.875968900043517,3535.4712588045695,0.368278256125476,10180.46875,10210.0,14.350488613197113,1.1509005728711525,0.8641615690843771,0.3816495967741936,0.39339999999999997,0.1464,0.5,32,25,0.0014,0.8647640529949773,0,nan,0
G55,1,init0.001,初期振幅 0.001,9600,2.520304854118271e-05,10.899083999916911,3535.4712588045695,0.368278256125476,10177.96875,10212.0,13.992150422201014,1.1751747742499272,0.8447422079813574,0.38942419354838714,0.4037,0.1214,0.4998,32,26,0.0,0.9429958603925134,0,nan,0
G55,1,init0.1,初期振幅 0.1,9600,2.520304854118271e-05,13.229486799915321,3535.4712588045695,0.368278256125476,10179.0,10207.0,13.910427743243556,1.1651616661811828,0.8932906107389067,0.4174741935483871,0.4299,0.1982,0.5,32,24,0.0,0.924640832005021,0,nan,0
G70,0,baseline,baseline,4800,8.842480587996874e-06,16.83669640007429,4403.557761416315,0.9174078669617323,9476.90625,9507.0,11.530826550490646,1.1895918048170162,0.8758210822646231,0.3743461693548387,0.3829,0.1164,0.4983,32,25,0.0717,0.7952251681901747,0,nan,0
G70,1,init1e-05,初期振幅 1e-05,4800,8.842480587996874e-06,16.719623600016348,4403.557761416315,0.9174078669617323,9476.4375,9494.0,13.04783866201602,1.1944791992492962,1.011364821186529,0.38651814516129035,0.39790000000000003,0.1476,0.4999,32,24,0.0003,0.8620044552385232,0,nan,0
G70,1,init0.001,初期振幅 0.001,4800,8.842480587996874e-06,17.311613300000317,4403.557761416315,0.9174078669617323,9476.4375,9494.0,13.04783866201602,1.1944791992492962,1.011364821186529,0.38651814516129035,0.39790000000000003,0.1476,0.4999,32,24,0.0003,0.8620044552385232,0,nan,0
G70,1,init0.1,初期振幅 0.1,4800,8.842480587996874e-06,17.243634599959478,4403.557761416315,0.9174078669617323,9476.4375,9494.0,13.04783866201602,1.1944791992492962,1.011364821186529,0.38651814516129035,0.39790000000000003,0.1476,0.4999,32,24,0.0003,0.8620044552385232,0,nan,0
