dataset,condition,rank,source_trial_index,cut
G22,baseline,1,25,13297.0
G22,baseline,2,18,13298.0
G22,baseline,3,14,13303.0
G22,baseline,4,26,13330.0
G22,baseline,5,6,13331.0
G22,baseline,6,22,13332.0
G22,baseline,7,11,13334.0
G22,noise1000x,1,18,13297.0
G22,noise1000x,2,17,13298.0
G22,noise1000x,3,16,13303.0
G22,noise1000x,4,15,13330.0
G22,noise1000x,5,6,13331.0
G22,noise1000x,6,1,13332.0
G22,noise1000x,7,7,13334.0
G55,baseline,1,2,10157.0
G55,baseline,2,31,10158.0
G55,baseline,3,5,10171.0
G55,baseline,4,30,10171.0
G55,baseline,5,15,10173.0
G55,baseline,6,27,10175.0
G55,baseline,7,0,10177.0
G55,baseline,8,28,10184.0
G55,baseline,9,10,10187.0
G55,baseline,10,18,10196.0
G55,baseline,11,7,10197.0
G55,noise1000x,1,31,10157.0
G55,noise1000x,2,0,10158.0
G55,noise1000x,3,14,10171.0
G55,noise1000x,4,15,10171.0
G55,noise1000x,5,20,10173.0
G55,noise1000x,6,27,10175.0
G55,noise1000x,7,13,10177.0
G55,noise1000x,8,6,10184.0
G55,noise1000x,9,9,10187.0
G55,noise1000x,10,17,10196.0
G55,noise1000x,11,7,10197.0
G70,baseline,1,5,9469.0
G70,baseline,2,2,9470.0
G70,baseline,3,11,9470.0
G70,baseline,4,16,9472.0
G70,baseline,5,30,9473.0
G70,baseline,6,19,9477.0
G70,baseline,7,6,9479.0
G70,baseline,8,13,9479.0
G70,baseline,9,7,9486.0
G70,baseline,10,31,9487.0
G70,baseline,11,3,9488.0
G70,noise1000x,1,5,9469.0
G70,noise1000x,2,9,9470.0
G70,noise1000x,3,24,9470.0
G70,noise1000x,4,6,9472.0
G70,noise1000x,5,23,9473.0
G70,noise1000x,6,2,9477.0
G70,noise1000x,7,8,9479.0
G70,noise1000x,8,30,9479.0
G70,noise1000x,9,4,9486.0
G70,noise1000x,10,20,9487.0
G70,noise1000x,11,14,9488.0
