phase,param_focus,alpha,rho,delta,gamma_growth,tau,beta0_error,p,mean_cut,max_cut,min_cut,std_cut,num_optimal,eval_sec
phase1,alpha,1.5,1,0.0013,0.001,18000,0.150075,0.776113,13282.8000,13312,13239,20.9418,0,2.59
phase1,alpha,2.25,1,0.0013,0.001,18000,0.150075,0.776113,13268.9000,13302,13226,19.6059,0,2.37
phase1,alpha,3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.45
phase1,alpha,4.5,1,0.0013,0.001,18000,0.150075,0.776113,13269.9000,13319,13228,25.6455,0,2.36
phase1,alpha,6,1,0.0013,0.001,18000,0.150075,0.776113,13330.5000,13339,13303,11.0521,0,2.39
phase1,rho,3,0.5,0.0013,0.001,18000,0.150075,0.776113,13277.1500,13314,13225,24.7432,0,2.37
phase1,rho,3,0.75,0.0013,0.001,18000,0.150075,0.776113,13278.3500,13312,13249,21.4109,0,2.38
phase1,rho,3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.42
phase1,rho,3,1.5,0.0013,0.001,18000,0.150075,0.776113,13270.5000,13310,13227,26.6449,0,2.36
phase1,rho,3,2,0.0013,0.001,18000,0.150075,0.776113,13278.9000,13314,13238,21.6816,0,2.37
phase1,delta,3,1,0.00065,0.001,18000,0.150075,0.776113,13274.3500,13307,13212,30.5406,0,2.40
phase1,delta,3,1,0.000975,0.001,18000,0.150075,0.776113,13273.5000,13332,13228,30.7107,0,2.40
phase1,delta,3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.35
phase1,delta,3,1,0.00195,0.001,18000,0.150075,0.776113,13268.9000,13308,13216,25.2486,0,2.47
phase1,delta,3,1,0.0026,0.001,18000,0.150075,0.776113,13269.6500,13304,13208,26.2265,0,2.36
phase1,gamma_growth,3,1,0.0013,0.0005,18000,0.150075,0.776113,13276.2000,13317,13218,27.1267,0,2.36
phase1,gamma_growth,3,1,0.0013,0.00075,18000,0.150075,0.776113,13274.0000,13317,13218,27.2874,0,2.54
phase1,gamma_growth,3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.36
phase1,gamma_growth,3,1,0.0013,0.0015,18000,0.150075,0.776113,13266.0000,13308,13232,24.6739,0,2.40
phase1,gamma_growth,3,1,0.0013,0.002,18000,0.150075,0.776113,13272.6000,13323,13232,23.0855,0,2.50
phase1,tau,3,1,0.0013,0.001,1800,0.150075,0.776113,13276.5500,13329,13210,29.0146,0,2.36
phase1,tau,3,1,0.0013,0.001,4500,0.150075,0.776113,13274.5500,13329,13210,29.1230,0,2.35
phase1,tau,3,1,0.0013,0.001,9000,0.150075,0.776113,13273.5000,13329,13210,30.3949,0,2.55
phase1,tau,3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.37
phase1,tau,3,1,0.0013,0.001,36000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.35
phase2,"alpha,delta,gamma_growth,rho,tau",1.5,1,0.0013,0.001,18000,0.150075,0.776113,13282.8000,13312,13239,20.9418,0,2.68
phase2,"alpha,delta,gamma_growth,rho,tau",2.25,1,0.0013,0.001,18000,0.150075,0.776113,13268.9000,13302,13226,19.6059,0,2.48
phase2,"alpha,delta,gamma_growth,rho,tau",3,1,0.0013,0.001,18000,0.150075,0.776113,13274.3000,13329,13210,29.1858,0,2.57
phase2,"alpha,delta,gamma_growth,rho,tau",4.5,1,0.0013,0.001,18000,0.150075,0.776113,13269.9000,13319,13228,25.6455,0,3.63
phase2,"alpha,delta,gamma_growth,rho,tau",6,1,0.0013,0.001,18000,0.150075,0.776113,13330.5000,13339,13303,11.0521,0,11.13
phase2,"alpha,delta,gamma_growth,rho,tau",6,1,0.00065,0.001,18000,0.150075,0.776113,13328.5500,13337,13295,11.6038,0,4.68
phase2,"alpha,delta,gamma_growth,rho,tau",6,1,0.000975,0.001,18000,0.150075,0.776113,13328.5000,13338,13298,13.0250,0,2.52
